縣市,年度,服務類別,服務子類別,CMS 等級,性別,人數
臺北市,111,交通接送服務,,總計,計,28415
臺北市,111,交通接送服務,,總計,男,11670
臺北市,111,交通接送服務,,總計,女,16745
臺北市,111,交通接送服務,,第2級,計,2540
臺北市,111,交通接送服務,,第2級,男,803
臺北市,111,交通接送服務,,第2級,女,1737
臺北市,111,交通接送服務,,第3級,計,3589
臺北市,111,交通接送服務,,第3級,男,1377
臺北市,111,交通接送服務,,第3級,女,2212
臺北市,111,交通接送服務,,第4級,計,5773
臺北市,111,交通接送服務,,第4級,男,2295
臺北市,111,交通接送服務,,第4級,女,3478
臺北市,111,交通接送服務,,第5級,計,4158
臺北市,111,交通接送服務,,第5級,男,1917
臺北市,111,交通接送服務,,第5級,女,2241
臺北市,111,交通接送服務,,第6級,計,3044
臺北市,111,交通接送服務,,第6級,男,1347
臺北市,111,交通接送服務,,第6級,女,1697
臺北市,111,交通接送服務,,第7級,計,4284
臺北市,111,交通接送服務,,第7級,男,1792
臺北市,111,交通接送服務,,第7級,女,2492
臺北市,111,交通接送服務,,第8級,計,5027
臺北市,111,交通接送服務,,第8級,男,2139
臺北市,111,交通接送服務,,第8級,女,2888
臺北市,112,交通接送服務,,總計,計,38000
臺北市,112,交通接送服務,,總計,男,15308
臺北市,112,交通接送服務,,總計,女,22692
臺北市,112,交通接送服務,,第2級,計,3805
臺北市,112,交通接送服務,,第2級,男,1276
臺北市,112,交通接送服務,,第2級,女,2529
臺北市,112,交通接送服務,,第3級,計,5282
臺北市,112,交通接送服務,,第3級,男,1937
臺北市,112,交通接送服務,,第3級,女,3345
臺北市,112,交通接送服務,,第4級,計,8039
臺北市,112,交通接送服務,,第4級,男,3159
臺北市,112,交通接送服務,,第4級,女,4880
臺北市,112,交通接送服務,,第5級,計,5552
臺北市,112,交通接送服務,,第5級,男,2488
臺北市,112,交通接送服務,,第5級,女,3064
臺北市,112,交通接送服務,,第6級,計,3988
臺北市,112,交通接送服務,,第6級,男,1711
臺北市,112,交通接送服務,,第6級,女,2277
臺北市,112,交通接送服務,,第7級,計,5210
臺北市,112,交通接送服務,,第7級,男,2214
臺北市,112,交通接送服務,,第7級,女,2996
臺北市,112,交通接送服務,,第8級,計,6124
臺北市,112,交通接送服務,,第8級,男,2523
臺北市,112,交通接送服務,,第8級,女,3601
臺北市,113,交通接送服務,,總計,計,40860
臺北市,113,交通接送服務,,總計,男,16289
臺北市,113,交通接送服務,,總計,女,24571
臺北市,113,交通接送服務,,第2級,計,4378
臺北市,113,交通接送服務,,第2級,男,1436
臺北市,113,交通接送服務,,第2級,女,2942
臺北市,113,交通接送服務,,第3級,計,6117
臺北市,113,交通接送服務,,第3級,男,2259
臺北市,113,交通接送服務,,第3級,女,3858
臺北市,113,交通接送服務,,第4級,計,8708
臺北市,113,交通接送服務,,第4級,男,3348
臺北市,113,交通接送服務,,第4級,女,5360
臺北市,113,交通接送服務,,第5級,計,5964
臺北市,113,交通接送服務,,第5級,男,2690
臺北市,113,交通接送服務,,第5級,女,3274
臺北市,113,交通接送服務,,第6級,計,4077
臺北市,113,交通接送服務,,第6級,男,1693
臺北市,113,交通接送服務,,第6級,女,2384
臺北市,113,交通接送服務,,第7級,計,5332
臺北市,113,交通接送服務,,第7級,男,2201
臺北市,113,交通接送服務,,第7級,女,3131
臺北市,113,交通接送服務,,第8級,計,6284
臺北市,113,交通接送服務,,第8級,男,2662
臺北市,113,交通接送服務,,第8級,女,3622
