縣市,年度,服務類別,服務子類別,CMS 等級,性別,人數
新北市,2021,照顧服務,日間照顧服務,第5級,計,432
新北市,2021,照顧服務,日間照顧服務,第5級,男,163
新北市,2021,照顧服務,日間照顧服務,第5級,女,269
新北市,2021,照顧服務,日間照顧服務,第6級,計,417
新北市,2021,照顧服務,日間照顧服務,第6級,男,160
新北市,2021,照顧服務,日間照顧服務,第6級,女,257
新北市,2021,照顧服務,日間照顧服務,第7級,計,68
新北市,2021,照顧服務,日間照顧服務,第7級,男,25
新北市,2021,照顧服務,日間照顧服務,第7級,女,43
新北市,2021,照顧服務,日間照顧服務,第8級,計,37
新北市,2021,照顧服務,日間照顧服務,第8級,男,15
新北市,2021,照顧服務,日間照顧服務,第8級,女,22
新北市,2021,照顧服務,家庭托顧,合計,計,45
新北市,2021,照顧服務,家庭托顧,合計,男,14
新北市,2021,照顧服務,家庭托顧,合計,女,31
新北市,2021,照顧服務,家庭托顧,第2級,計,1
新北市,2021,照顧服務,家庭托顧,第2級,男,1
新北市,2021,照顧服務,家庭托顧,第2級,女,0
新北市,2021,照顧服務,家庭托顧,第3級,計,2
新北市,2021,照顧服務,家庭托顧,第3級,男,0
新北市,2021,照顧服務,家庭托顧,第3級,女,2
新北市,2021,照顧服務,家庭托顧,第4級,計,7
新北市,2021,照顧服務,家庭托顧,第4級,男,1
新北市,2021,照顧服務,家庭托顧,第4級,女,6
新北市,2021,照顧服務,家庭托顧,第5級,計,8
新北市,2021,照顧服務,家庭托顧,第5級,男,2
新北市,2021,照顧服務,家庭托顧,第5級,女,6
新北市,2021,照顧服務,家庭托顧,第6級,計,17
新北市,2021,照顧服務,家庭托顧,第6級,男,7
新北市,2021,照顧服務,家庭托顧,第6級,女,10
新北市,2021,照顧服務,家庭托顧,第7級,計,8
新北市,2021,照顧服務,家庭托顧,第7級,男,3
新北市,2021,照顧服務,家庭托顧,第7級,女,5
新北市,2021,照顧服務,家庭托顧,第8級,計,2
新北市,2021,照顧服務,家庭托顧,第8級,男,0
新北市,2021,照顧服務,家庭托顧,第8級,女,2
新北市,2022,照顧服務,人次總計,合計,計,37207
新北市,2022,照顧服務,人次總計,合計,男,15929
新北市,2022,照顧服務,人次總計,合計,女,21278
