縣市,年度,服務類別,CMS 等級,性別,人數
臺北市,2022,營養餐飲服務,第4級,合計,497
臺北市,2022,營養餐飲服務,第4級,男,233
臺北市,2022,營養餐飲服務,第4級,女,264
臺北市,2022,營養餐飲服務,第5級,合計,215
臺北市,2022,營養餐飲服務,第5級,男,109
臺北市,2022,營養餐飲服務,第5級,女,106
臺北市,2022,營養餐飲服務,第6級,合計,114
臺北市,2022,營養餐飲服務,第6級,男,50
臺北市,2022,營養餐飲服務,第6級,女,64
臺北市,2022,營養餐飲服務,第7級,合計,133
臺北市,2022,營養餐飲服務,第7級,男,65
臺北市,2022,營養餐飲服務,第7級,女,68
臺北市,2022,營養餐飲服務,第8級,合計,85
臺北市,2022,營養餐飲服務,第8級,男,40
臺北市,2022,營養餐飲服務,第8級,女,45
臺北市,2023,營養餐飲服務,總計,合計,1788
臺北市,2023,營養餐飲服務,總計,男,883
臺北市,2023,營養餐飲服務,總計,女,905
臺北市,2023,營養餐飲服務,第2級,合計,395
臺北市,2023,營養餐飲服務,第2級,男,192
臺北市,2023,營養餐飲服務,第2級,女,203
臺北市,2023,營養餐飲服務,第3級,合計,349
臺北市,2023,營養餐飲服務,第3級,男,159
臺北市,2023,營養餐飲服務,第3級,女,190
臺北市,2023,營養餐飲服務,第4級,合計,486
臺北市,2023,營養餐飲服務,第4級,男,236
臺北市,2023,營養餐飲服務,第4級,女,250
臺北市,2023,營養餐飲服務,第5級,合計,220
臺北市,2023,營養餐飲服務,第5級,男,118
臺北市,2023,營養餐飲服務,第5級,女,102
臺北市,2023,營養餐飲服務,第6級,合計,124
臺北市,2023,營養餐飲服務,第6級,男,69
臺北市,2023,營養餐飲服務,第6級,女,55
臺北市,2023,營養餐飲服務,第7級,合計,134
臺北市,2023,營養餐飲服務,第7級,男,73
臺北市,2023,營養餐飲服務,第7級,女,61
臺北市,2023,營養餐飲服務,第8級,合計,80
臺北市,2023,營養餐飲服務,第8級,男,36
臺北市,2023,營養餐飲服務,第8級,女,44
臺北市,2024,營養餐飲服務,總計,合計,1653
臺北市,2024,營養餐飲服務,總計,男,849
臺北市,2024,營養餐飲服務,總計,女,804
臺北市,2024,營養餐飲服務,第2級,合計,374
臺北市,2024,營養餐飲服務,第2級,男,188
臺北市,2024,營養餐飲服務,第2級,女,186
臺北市,2024,營養餐飲服務,第3級,合計,343
臺北市,2024,營養餐飲服務,第3級,男,180
臺北市,2024,營養餐飲服務,第3級,女,163
臺北市,2024,營養餐飲服務,第4級,合計,438
臺北市,2024,營養餐飲服務,第4級,男,231
臺北市,2024,營養餐飲服務,第4級,女,207
臺北市,2024,營養餐飲服務,第5級,合計,213
臺北市,2024,營養餐飲服務,第5級,男,107
臺北市,2024,營養餐飲服務,第5級,女,106
臺北市,2024,營養餐飲服務,第6級,合計,104
臺北市,2024,營養餐飲服務,第6級,男,57
臺北市,2024,營養餐飲服務,第6級,女,47
臺北市,2024,營養餐飲服務,第7級,合計,111
臺北市,2024,營養餐飲服務,第7級,男,48
臺北市,2024,營養餐飲服務,第7級,女,63
臺北市,2024,營養餐飲服務,第8級,合計,70
臺北市,2024,營養餐飲服務,第8級,男,38
臺北市,2024,營養餐飲服務,第8級,女,32
