town,bed_for_caring,bed_for_nursing,bed_for_longterm,bed_for_azh
中山區,317,0,0,0
中正區,106,0,0,0
信義區,57,0,0,0
內湖區,206,0,5,0
北投區,997,225,0,0
南港區,20,0,0,0
士林區,438,153,176,0
大同區,401,0,0,0
大安區,213,0,9,0
文山區,617,555,132,0
松山區,131,0,0,0
萬華區,372,0,0,62
