年度,服務類別,服務子類別,CMS 等級,性別,人數
2023,照顧服務,居家服務,第6級,男,1765
2023,照顧服務,居家服務,第6級,女,2087
2023,照顧服務,居家服務,第7級,男,1805
2023,照顧服務,居家服務,第7級,女,2069
2023,照顧服務,居家服務,第8級,男,1984
2023,照顧服務,居家服務,第8級,女,2265
2023,照顧服務,日間照顧服務,第2級,男,182
2023,照顧服務,日間照顧服務,第2級,女,469
2023,照顧服務,日間照顧服務,第3級,男,279
2023,照顧服務,日間照顧服務,第3級,女,588
2023,照顧服務,日間照顧服務,第4級,男,343
2023,照顧服務,日間照顧服務,第4級,女,657
2023,照顧服務,日間照顧服務,第5級,男,285
2023,照顧服務,日間照顧服務,第5級,女,351
2023,照顧服務,日間照顧服務,第6級,男,233
2023,照顧服務,日間照顧服務,第6級,女,390
2023,照顧服務,日間照顧服務,第7級,男,51
2023,照顧服務,日間照顧服務,第7級,女,86
2023,照顧服務,日間照顧服務,第8級,男,30
2023,照顧服務,日間照顧服務,第8級,女,33
2023,照顧服務,家庭托顧,第2級,男,1
2023,照顧服務,家庭托顧,第2級,女,1
2023,照顧服務,家庭托顧,第3級,男,1
2023,照顧服務,家庭托顧,第3級,女,2
2023,照顧服務,家庭托顧,第4級,男,1
2023,照顧服務,家庭托顧,第4級,女,6
2023,照顧服務,家庭托顧,第5級,男,1
2023,照顧服務,家庭托顧,第5級,女,6
2023,照顧服務,家庭托顧,第6級,男,5
2023,照顧服務,家庭托顧,第6級,女,8
2023,照顧服務,家庭托顧,第7級,男,3
2023,照顧服務,家庭托顧,第7級,女,5
2023,照顧服務,家庭托顧,第8級,男,0
2023,照顧服務,家庭托顧,第8級,女,5
2024,照顧服務,人次總計,第2級,男,3375
2024,照顧服務,人次總計,第2級,女,6264
2024,照顧服務,人次總計,第3級,男,4114
2024,照顧服務,人次總計,第3級,女,6573
2024,照顧服務,人次總計,第4級,男,4212
2024,照顧服務,人次總計,第4級,女,5851
2024,照顧服務,人次總計,第5級,男,3243
2024,照顧服務,人次總計,第5級,女,3504
2024,照顧服務,人次總計,第6級,男,2022
2024,照顧服務,人次總計,第6級,女,2332
2024,照顧服務,人次總計,第7級,男,1794
2024,照顧服務,人次總計,第7級,女,2180
2024,照顧服務,人次總計,第8級,男,1994
2024,照顧服務,人次總計,第8級,女,2371
2024,照顧服務,居家服務,第2級,男,3224
2024,照顧服務,居家服務,第2級,女,5887
2024,照顧服務,居家服務,第3級,男,3883
2024,照顧服務,居家服務,第3級,女,6077
2024,照顧服務,居家服務,第4級,男,3963
2024,照顧服務,居家服務,第4級,女,5375
2024,照顧服務,居家服務,第5級,男,3062
2024,照顧服務,居家服務,第5級,女,3271
2024,照顧服務,居家服務,第6級,男,1860
2024,照顧服務,居家服務,第6級,女,2073
2024,照顧服務,居家服務,第7級,男,1773
2024,照顧服務,居家服務,第7級,女,2143
2024,照顧服務,居家服務,第8級,男,1980
2024,照顧服務,居家服務,第8級,女,2353
2024,照顧服務,日間照顧服務,第2級,男,225
2024,照顧服務,日間照顧服務,第2級,女,555
2024,照顧服務,日間照顧服務,第3級,男,375
2024,照顧服務,日間照顧服務,第3級,女,771
2024,照顧服務,日間照顧服務,第4級,男,404
2024,照顧服務,日間照顧服務,第4級,女,825
2024,照顧服務,日間照顧服務,第5級,男,325
2024,照顧服務,日間照顧服務,第5級,女,404
2024,照顧服務,日間照顧服務,第6級,男,304
2024,照顧服務,日間照顧服務,第6級,女,448
2024,照顧服務,日間照顧服務,第7級,男,59
2024,照顧服務,日間照顧服務,第7級,女,110
2024,照顧服務,日間照顧服務,第8級,男,31
2024,照顧服務,日間照顧服務,第8級,女,42
2024,照顧服務,家庭托顧,第2級,男,0
2024,照顧服務,家庭托顧,第2級,女,0
2024,照顧服務,家庭托顧,第3級,男,1
2024,照顧服務,家庭托顧,第3級,女,0
2024,照顧服務,家庭托顧,第4級,男,0
2024,照顧服務,家庭托顧,第4級,女,4
2024,照顧服務,家庭托顧,第5級,男,1
2024,照顧服務,家庭托顧,第5級,女,3
2024,照顧服務,家庭托顧,第6級,男,6
2024,照顧服務,家庭托顧,第6級,女,6
2024,照顧服務,家庭托顧,第7級,男,0
2024,照顧服務,家庭托顧,第7級,女,5
2024,照顧服務,家庭托顧,第8級,男,3
2024,照顧服務,家庭托顧,第8級,女,8
2021,營養餐飲服務,,第2級,男,135
2021,營養餐飲服務,,第2級,女,101
2021,營養餐飲服務,,第3級,男,89
2021,營養餐飲服務,,第3級,女,42
2021,營養餐飲服務,,第4級,男,91
2021,營養餐飲服務,,第4級,女,88
2021,營養餐飲服務,,第5級,男,51
2021,營養餐飲服務,,第5級,女,38
2021,營養餐飲服務,,第6級,男,28
2021,營養餐飲服務,,第6級,女,23
2021,營養餐飲服務,,第7級,男,19
2021,營養餐飲服務,,第7級,女,18
