年度,服務類別,服務子類別,CMS 等級,性別,人數
2023,照顧服務,居家服務,第6級,女,1173
2023,照顧服務,居家服務,第7級,男,1179
2023,照顧服務,居家服務,第7級,女,1408
2023,照顧服務,居家服務,第8級,男,1245
2023,照顧服務,居家服務,第8級,女,1509
2023,照顧服務,日間照顧服務,第2級,男,60
2023,照顧服務,日間照顧服務,第2級,女,167
2023,照顧服務,日間照顧服務,第3級,男,154
2023,照顧服務,日間照顧服務,第3級,女,325
2023,照顧服務,日間照顧服務,第4級,男,251
2023,照顧服務,日間照顧服務,第4級,女,497
2023,照顧服務,日間照顧服務,第5級,男,172
2023,照顧服務,日間照顧服務,第5級,女,272
2023,照顧服務,日間照顧服務,第6級,男,212
2023,照顧服務,日間照顧服務,第6級,女,355
2023,照顧服務,日間照顧服務,第7級,男,47
2023,照顧服務,日間照顧服務,第7級,女,93
2023,照顧服務,日間照顧服務,第8級,男,30
2023,照顧服務,日間照顧服務,第8級,女,38
2023,照顧服務,家庭托顧,第2級,男,0
2023,照顧服務,家庭托顧,第2級,女,0
2023,照顧服務,家庭托顧,第3級,男,1
2023,照顧服務,家庭托顧,第3級,女,3
2023,照顧服務,家庭托顧,第4級,男,0
2023,照顧服務,家庭托顧,第4級,女,3
2023,照顧服務,家庭托顧,第5級,男,0
2023,照顧服務,家庭托顧,第5級,女,2
2023,照顧服務,家庭托顧,第6級,男,6
2023,照顧服務,家庭托顧,第6級,女,3
2023,照顧服務,家庭托顧,第7級,男,2
2023,照顧服務,家庭托顧,第7級,女,6
2023,照顧服務,家庭托顧,第8級,男,1
2023,照顧服務,家庭托顧,第8級,女,3
2024,照顧服務,人次總計,第2級,男,1102
2024,照顧服務,人次總計,第2級,女,2512
2024,照顧服務,人次總計,第3級,男,1703
2024,照顧服務,人次總計,第3級,女,3084
2024,照顧服務,人次總計,第4級,男,2440
2024,照顧服務,人次總計,第4級,女,3963
2024,照顧服務,人次總計,第5級,男,1767
2024,照顧服務,人次總計,第5級,女,1969
2024,照顧服務,人次總計,第6級,男,1150
2024,照顧服務,人次總計,第6級,女,1421
2024,照顧服務,人次總計,第7級,男,1254
2024,照顧服務,人次總計,第7級,女,1560
2024,照顧服務,人次總計,第8級,男,1265
2024,照顧服務,人次總計,第8級,女,1578
2024,照顧服務,居家服務,第2級,男,1055
2024,照顧服務,居家服務,第2級,女,2337
2024,照顧服務,居家服務,第3級,男,1557
2024,照顧服務,居家服務,第3級,女,2793
2024,照顧服務,居家服務,第4級,男,2257
2024,照顧服務,居家服務,第4級,女,3540
2024,照顧服務,居家服務,第5級,男,1600
2024,照顧服務,居家服務,第5級,女,1774
2024,照顧服務,居家服務,第6級,男,1002
2024,照顧服務,居家服務,第6級,女,1193
2024,照顧服務,居家服務,第7級,男,1228
2024,照顧服務,居家服務,第7級,女,1499
2024,照顧服務,居家服務,第8級,男,1254
2024,照顧服務,居家服務,第8級,女,1557
2024,照顧服務,日間照顧服務,第2級,男,63
2024,照顧服務,日間照顧服務,第2級,女,216
2024,照顧服務,日間照顧服務,第3級,男,205
2024,照顧服務,日間照顧服務,第3級,女,450
2024,照顧服務,日間照顧服務,第4級,男,292
2024,照顧服務,日間照顧服務,第4級,女,605
2024,照顧服務,日間照顧服務,第5級,男,254
2024,照顧服務,日間照顧服務,第5級,女,305
2024,照顧服務,日間照顧服務,第6級,男,245
2024,照顧服務,日間照顧服務,第6級,女,379
2024,照顧服務,日間照顧服務,第7級,男,69
2024,照顧服務,日間照顧服務,第7級,女,117
2024,照顧服務,日間照顧服務,第8級,男,32
2024,照顧服務,日間照顧服務,第8級,女,46
2024,照顧服務,家庭托顧,第2級,男,0
2024,照顧服務,家庭托顧,第2級,女,0
2024,照顧服務,家庭托顧,第3級,男,0
2024,照顧服務,家庭托顧,第3級,女,0
2024,照顧服務,家庭托顧,第4級,男,1
2024,照顧服務,家庭托顧,第4級,女,2
2024,照顧服務,家庭托顧,第5級,男,1
2024,照顧服務,家庭托顧,第5級,女,3
2024,照顧服務,家庭托顧,第6級,男,6
2024,照顧服務,家庭托顧,第6級,女,6
2024,照顧服務,家庭托顧,第7級,男,2
2024,照顧服務,家庭托顧,第7級,女,7
2024,照顧服務,家庭托顧,第8級,男,0
2024,照顧服務,家庭托顧,第8級,女,3
2021,營養餐飲服務,,第2級,男,146
2021,營養餐飲服務,,第2級,女,91
2021,營養餐飲服務,,第3級,男,101
2021,營養餐飲服務,,第3級,女,84
2021,營養餐飲服務,,第4級,男,187
2021,營養餐飲服務,,第4級,女,127
2021,營養餐飲服務,,第5級,男,73
2021,營養餐飲服務,,第5級,女,43
2021,營養餐飲服務,,第6級,男,37
2021,營養餐飲服務,,第6級,女,38
2021,營養餐飲服務,,第7級,男,46
2021,營養餐飲服務,,第7級,女,37
2021,營養餐飲服務,,第8級,男,30
2021,營養餐飲服務,,第8級,女,28
2022,營養餐飲服務,,第2級,男,181
2022,營養餐飲服務,,第2級,女,192
2022,營養餐飲服務,,第3級,男,167
2022,營養餐飲服務,,第3級,女,203
2022,營養餐飲服務,,第4級,男,233
2022,營養餐飲服務,,第4級,女,264
2022,營養餐飲服務,,第5級,男,109
2022,營養餐飲服務,,第5級,女,106
2022,營養餐飲服務,,第6級,男,50
2022,營養餐飲服務,,第6級,女,64
2022,營養餐飲服務,,第7級,男,65
2022,營養餐飲服務,,第7級,女,68
2022,營養餐飲服務,,第8級,男,40
2022,營養餐飲服務,,第8級,女,45
2023,營養餐飲服務,,第2級,男,192
2023,營養餐飲服務,,第2級,女,203
2023,營養餐飲服務,,第3級,男,159
2023,營養餐飲服務,,第3級,女,190
2023,營養餐飲服務,,第4級,男,236
2023,營養餐飲服務,,第4級,女,250
2023,營養餐飲服務,,第5級,男,118
2023,營養餐飲服務,,第5級,女,102
2023,營養餐飲服務,,第6級,男,69
2023,營養餐飲服務,,第6級,女,55
2023,營養餐飲服務,,第7級,男,73
2023,營養餐飲服務,,第7級,女,61
2023,營養餐飲服務,,第8級,男,36
2023,營養餐飲服務,,第8級,女,44
2024,營養餐飲服務,,第2級,男,188
2024,營養餐飲服務,,第2級,女,186
2024,營養餐飲服務,,第3級,男,180
2024,營養餐飲服務,,第3級,女,163
2024,營養餐飲服務,,第4級,男,231
2024,營養餐飲服務,,第4級,女,207
2024,營養餐飲服務,,第5級,男,107
2024,營養餐飲服務,,第5級,女,106
2024,營養餐飲服務,,第6級,男,57
2024,營養餐飲服務,,第6級,女,47
2024,營養餐飲服務,,第7級,男,48
2024,營養餐飲服務,,第7級,女,63
2024,營養餐飲服務,,第8級,男,38
2024,營養餐飲服務,,第8級,女,32
2021,交通接送服務,,第2級,男,29
2021,交通接送服務,,第2級,女,37
2021,交通接送服務,,第3級,男,56
2021,交通接送服務,,第3級,女,113
2021,交通接送服務,,第4級,男,1730
