district,organization_count,village_count
中山區,19,42
中正區,20,31
信義區,28,41
內湖區,24,39
北投區,23,42
南港區,18,20
士林區,29,51
大同區,13,25
大安區,31,53
文山區,27,43
松山區,25,33
萬華區,14,36
