機構名稱,機構代碼,機構種類,縣市,區,地址全址,經度,緯度,O_ABC,特約服務項目
中崙諮商中心心理諮商所,B20100093,B2,臺北市,大安區,臺北市大安區忠孝東路三段54號4樓之一,121.5355606079,25.041727066,B,專業照護服務
中華民國紅十字會台灣省分會(社照C),BE0100003,BE,臺北市,大安區,臺北市大安區龍坡里新生南路三段20-1號4樓,121.5344238281,25.0241832733,A,個案管理服務
中華民國紅十字會台灣省分會(社照C),BE0100003,BE,臺北市,大安區,臺北市大安區龍坡里新生南路三段20-1號4樓,121.5344238281,25.0241832733,B,喘息服務
中華民國紅十字會台灣省分會(社照C),BE0100003,BE,臺北市,大安區,臺北市大安區龍坡里新生南路三段20-1號4樓,121.5344238281,25.0241832733,C,巷弄長照站
中華民國紅十字會台灣省分會附設臺北市私立紅十字居家式服務類長期照顧服務機構,1N0100001,1,臺北市,大安區,臺北市大安區龍坡里新生南路3段20之1號2樓,121.5344238281,25.0241832733,A,個案管理服務
中華民國紅十字會台灣省分會附設臺北市私立紅十字居家式服務類長期照顧服務機構,1N0100001,1,臺北市,大安區,臺北市大安區龍坡里新生南路3段20之1號2樓,121.5344238281,25.0241832733,B,居家服務;喘息服務
中華民國紅十字會總會,BF0100077,BF,臺北市,萬華區,臺北市萬華區糖廍里艋舺大道303號1、4樓,121.4964904785,25.0331745148,C,巷弄長照站
中華民國紅十字會臺北市分會,BF0100078,BF,臺北市,信義區,臺北市信義區中興里中興里信義路4段415號5樓-3,121.559211731,25.0332794189,C,巷弄長照站
中華民國紅十字會附設私立博愛居家長照機構,1N0100003,1,臺北市,萬華區,臺北市萬華區菜園里康定路62號11樓,121.5023117065,25.0424423218,B,喘息服務;居家服務
中華民國紅心字會(信義區),BF0100002,BF,臺北市,信義區,臺北市信義區四維里虎林街74巷2號1樓,121.5133514404,25.0449581146,A,個案管理服務
中華民國紅心字會(信義區),BF0100002,BF,臺北市,信義區,臺北市信義區四維里虎林街74巷2號1樓,121.5133514404,25.0449581146,C,巷弄長照站
中華民國紅心字會(興隆老人社會關懷照顧據點),BF0100080,BF,臺北市,文山區,臺北市文山區明義里明義里興隆路4段105巷47號,121.5631637573,24.987991333,B,喘息服務
中華民國紅心字會(興隆老人社會關懷照顧據點),BF0100080,BF,臺北市,文山區,臺北市文山區明義里明義里興隆路4段105巷47號,121.5631637573,24.987991333,C,巷弄長照站
中華民國紅心字會附設臺北市私立興隆社區長照機構,2N0100001,2,臺北市,文山區,臺北市文山區明義里興隆路四段105巷47號2樓,121.5631256104,24.98828125,B,日間照顧服務;營養餐飲服務
中華民國老人福利協進會,BF0100168,BF,臺北市,信義區,臺北市信義區嘉興里信安街78號2樓,121.557220459,25.02602005,C,巷弄長照站
中華民國雙囍老人義務教育推廣協會,BF0100183,BF,臺北市,萬華區,臺北市萬華區壽德里萬大路411號2樓,121.4990615845,25.0215625763,C,巷弄長照站
中華萌愛關懷協會,BF0100017,BF,臺北市,大同區,臺北市大同區蓬萊里承德路3段60號B1,121.5181045532,25.0653305054,C,巷弄長照站
京鶴實業有限公司附設臺北市私立悅康居家長照機構,1V0100024,1,臺北市,中正區,臺北市中正區黎明里許昌街42之1號7樓700室,121.5154342651,25.0454483032,B,居家服務;喘息服務
佳臻有限公司附設臺北市私立佳臻居家長照機構,1R0100065,1,臺北市,大同區,臺北市大同區長安西路84號6樓之1,121.5191192627,25.0503177643,B,居家服務
佳顧股份有限公司附設臺北市私立佳顧居家長照機構,1V0100007,1,臺北市,中山區,臺北市中山區集英里中山北路2段102號11樓,121.5227127075,25.0600719452,B,喘息服務;居家服務
保豐堂藥品儀器有限公司,BB0100006,BB,臺北市,萬華區,臺北市萬華區長沙街二段115號1樓,121.5035400391,25.0405292511,B,輔具及居家無障礙環境服務
健樂福生活事業股份有限公司,BF0100001,BF,臺北市,大安區,臺北市大安區民炤里仁愛路三段30號,121.5366973877,25.037612915,B,輔具及居家無障礙環境服務
